id, turn_around_time
352, 37.3549
353, 37.438
354, 37.5981
355, 37.2182
356, 37.5455
357, 35.8899
358, 37.1192
359, 37.5507
360, 37.7104
361, 34.799
362, 36.7709
363, 36.8294
364, 38.506
365, 36.5155
366, 37.7328
367, 47.0297
368, 31.7241
369, 37.9005
370, 35.5663
371, 39.3167
372, 36.0907
373, 37.6841
374, 37.2424
375, 37.996
376, 34.1678
377, 39.9739
378, 39.7364
379, 33.8554
380, 36.36
381, 38.866
382, 37.1574
383, 38.8257
384, 38.9974
385, 39.1145
386, 39.6593
387, 36.0658
388, 39.808
389, 37.4799
390, 37.2862
391, 37.7891
392, 36.0893
393, 38.4395
394, 42.8732
395, 30.8016
396, 39.6358
397, 37.4977
398, 37.6503
399, 36.3994
400, 37.556
401, 39.1435
402, 37.0196
403, 39.8902
404, 39.713
405, 38.0178
406, 34.6021
407, 36.8054
408, 38.7715
409, 37.7258
410, 36.9002
411, 37.2164
412, 37.6751
413, 47.3871
414, 29.2861
415, 36.3628
416, 36.6701
417, 36.6996
418, 38.1981
419, 35.9628
420, 39.6196
421, 40.3598
422, 34.1429
423, 37.7488
424, 42.1247
425, 34.2649
426, 37.0581
427, 36.5555
428, 40.4313
429, 37.4984
430, 37.1324
431, 36.5951
432, 36.263
433, 37.2728
434, 38.0954
435, 38.6586
436, 34.925
437, 37.9081
438, 35.1123
439, 38.5826
440, 38.4401
441, 34.4724
442, 37.3795
443, 37.2428
444, 40.0984
445, 32.663
446, 38.0134
447, 38.2303
448, 37.3951
449, 37.9331
450, 36.7715
451, 37.3267
452, 38.1859
453, 35.2645
454, 36.6233
455, 37.2181
456, 36.9158
457, 38.0928
458, 35.2142
459, 38.0319
460, 37.5858
461, 38.7443
462, 36.6256
463, 36.8932
464, 37.8137
465, 48.0905
466, 26.7261
467, 36.4637
468, 39.1445
469, 39.1999
470, 38.9785
471, 35.1406
472, 36.7297
473, 36.1775
474, 38.7927
475, 38.4716
476, 39.4411
477, 33.8231
478, 37.6918
479, 38.9791
480, 34.7841
481, 36.3804
482, 37.0276
483, 37.2505
484, 37.7253
485, 39.6341
486, 35.2646
487, 39.4657
488, 35.5714
489, 37.4623
490, 38.2784
491, 37.2174
492, 37.259
493, 37.4787
494, 38.7254
495, 38.6547
496, 37.9635
497, 37.7979
498, 37.4274

